Category,Athlete,Drill,Difficulty,Thumbnail
Hip Hop Handles,Trey Burke,1) Crossover,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,2) Alt.Between,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,3) Behind Back,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,4) Between (left leg up),Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,5) Between (right leg up),Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,6) Crossover+ Between,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,7) Between+ Behind,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,8) Behind+ Crossover,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,9) Crossover+ Pullback,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,10) Behind+ Pullback,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,11) Alt.Between,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,12) 5 Crossover+ 5 Alt.Between,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,13) 5 Between+ 5 Crossover,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,14) 5 Alt.Between+ 5 Behind,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,15) 5 crossover+ 5 Behind,Beginner,trey-burke.jpg
Hip Hop Handles,Trey Burke,1) Triple Crossover,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,2) Triple Behind,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,3) Triple Alt.Between,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,4) Triple Between (left leg up),Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,5) Double Bounce+ Crossover,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,(6) Double Bounce+ Between,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,7) Double Bounce+ Behind,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,8) Single Bounce+ Double Crossover,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,9) Single Bounce+ Double Between,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,10) Single Bounce+ Double Behind,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,11) Single Bounce+ Between+ Crossover,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,12) Single Bounce+ Between+ Behind,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,13) Single Bounce+ Crossover+ Behind,Advanced,trey-burke.jpg
Hip Hop Handles,Trey Burke,14) Double Crossover+ Between,Advanced,trey-burke.jpg
