Drill,Level,BPM,Filename,Thumbnail,duration
1) Crossover,Level 1,80,1-crossover-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
1) Crossover,Level 2,100,1-crossover-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
1) Crossover,Level 3,120,1-crossover-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
2) Alt.Between,Level 1,80,2-alt.between-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
2) Alt.Between,Level 2,100,2-alt.between-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
2) Alt.Between,Level 3,120,2-alt.between-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
3) Behind Back,Level 1,80,3-behind-back-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
3) Behind Back,Level 2,100,3-behind-back-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
3) Behind Back,Level 3,120,3-behind-back-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
4) Between (left leg up),Level 1,80,4-between-left-leg-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
4) Between (left leg up),Level 2,100,4-between-left-leg-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
4) Between (left leg up),Level 3,120,4-between-left-leg-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
5) Between (right leg up),Level 1,80,5-between-right-leg-lv.1-80-trey-burke-final-edition-.mp4,trey-burke.jpg,45
5) Between (right leg up),Level 2,100,5-between-right-leg-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
5) Between (right leg up),Level 3,120,5-between-right-leg-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
6) Crossover+ Between,Level 1,80,6-crossover-between-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
6) Crossover+ Between,Level 2,100,6-crossover-between-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
6) Crossover+ Between,Level 3,120,6-crossover-between-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
7) Between+ Behind,Level 1,80,7-between-behind-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
7) Between+ Behind,Level 2,100,7-between-behind-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
7) Between+ Behind,Level 3,120,7-between-behind-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
8) Behind+ Crossover,Level 1,80,8-behind-crossover-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
8) Behind+ Crossover,Level 2,100,8-behind-crossover-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
8) Behind+ Crossover,Level 3,120,8-behind-crossover-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
9) Crossover+ Pullback,Level 1,80,9-crossover-pullback-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
9) Crossover+ Pullback,Level 2,100,9-crossover-pullback-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
9) Crossover+ Pullback,Level 3,120,9-crossover-pullback-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
10) Behind+ Pullback,Level 1,80,10-behind-pullback-lv.1-80-trey-burke-final-edition.mp4,trey-burke.jpg,45
10) Behind+ Pullback,Level 2,100,10-behind-pullback-lv.2-100-trey-burke-final-edition.mp4,trey-burke.jpg,45
10) Behind+ Pullback,Level 3,120,10-behind-pullback-lv.3-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
11) Alt.Between,Level 1,120,11-alt.between-lv.1-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
11) Alt.Between,Level 2,140,11-alt.between-lv.2-140-trey-burke-final-edition.mp4,trey-burke.jpg,45
11) Alt.Between,Level 3,160,11-alt.between-lv.3-160-trey-burke-final-edition.mp4,trey-burke.jpg,45
12) 5 Crossover+ 5 Alt.Between,Level 1,120,12-5-crossover-5-alt.between-lv.1-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
12) 5 Crossover+ 5 Alt.Between,Level 2,140,12-5-crossover-5-alt.between-lv.3-160-trey-burke-final-edition.mp4,trey-burke.jpg,45
12) 5 Crossover+ 5 Alt.Between,Level 3,160,12-5-crossover-5-alt.between-lv.2-140-trey-burke-final-edition.mp4,trey-burke.jpg,45
13) 5 Between+ 5 Crossover,Level 1,120,13-5-between-5-crossover-lv.1-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
13) 5 Between+ 5 Crossover,Level 2,140,13-5-between-5-crossover-lv.2-140-trey-burke-final-edition.mp4,trey-burke.jpg,45
13) 5 Between+ 5 Crossover,Level 3,160,13-5-between-5-crossover-lv.3-160-trey-burke-final-edition.mp4,trey-burke.jpg,45
14) 5 Alt.Between+ 5 Behind,Level 1,120,14-5-alt.between-5-behind-lv.1-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
14) 5 Alt.Between+ 5 Behind,Level 2,140,14-5-alt.between-5-behind-lv.2-140-trey-burke-final-edition.mp4,trey-burke.jpg,45
14) 5 Alt.Between+ 5 Behind,Level 3,160,14-5-alt.between-5-behind-lv.3-160-trey-burke-final-edition.mp4,trey-burke.jpg,45
15) 5 Crossover+ 5 Behind,Level 1,120,15-5-crossover-5-behind-lv.1-120-trey-burke-final-edition.mp4,trey-burke.jpg,45
15) 5 Crossover+ 5 Behind,Level 2,140,15-5-crossover-5-behind-lv.2-140-trey-burke-final-edition.mp4,trey-burke.jpg,45
15) 5 Crossover+ 5 Behind,Level 3,160,15-5-crossover-5-behind-lv.3-160-trey-burke-final-edition.mp4,trey-burke.jpg,45
1) Triple Crossover,Level 1,125,1-triple-crossover-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
1) Triple Crossover,Level 2,145,1-triple-crossover-lv.2-145-trey-burke-final-edition-.mp4,trey-burke.jpg,45
1) Triple Crossover,Level 3,165,1-triple-crossover-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
2) Triple Behind,Level 1,125,2-triple-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
2) Triple Behind,Level 2,145,2-triple-behind-lv.2-145-trey-burke-final-edition-.mp4,trey-burke.jpg,45
2) Triple Behind,Level 3,165,2-triple-behind-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
3) Triple Alt.Between,Level 1,125,3-triple-alt.between-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
3) Triple Alt.Between,Level 2,145,3-triple-alt.between-lv.2-145-trey-burke-final-edition-.mp4,trey-burke.jpg,45
3) Triple Alt.Between,Level 3,165,3-triple-alt.between-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
4) Triple Between (left leg up),Level 1,125,4-triple-between-left-leg-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
4) Triple Between (left leg up),Level 2,145,4-triple-between-left-leg-lv.2-145-trey-burke-final-edition-.mp4,trey-burke.jpg,45
4) Triple Between (left leg up),Level 3,165,4-triple-between-left-leg-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
5) Double Bounce+ Crossover,Level 1,125,5-double-bounce-crossover-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
5) Double Bounce+ Crossover,Level 2,145,5-double-bounce-crossover-lv.2-145-trey-burke-final-edition-.mp4,trey-burke.jpg,45
5) Double Bounce+ Crossover,Level 3,165,5-double-bounce-crossover-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
(6) Double Bounce+ Between,Level 1,125,6-double-bounce-between-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
(6) Double Bounce+ Between,Level 2,145,6-double-bounce-between-lv.2-145-trey-burke-final-edition-.mp4,trey-burke.jpg,45
(6) Double Bounce+ Between,Level 3,165,6-double-bounce-between-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
7) Double Bounce+ Behind,Level 1,125,7-double-bounce-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
7) Double Bounce+ Behind,Level 2,145,7-double-bounce-behind-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,44
7) Double Bounce+ Behind,Level 3,165,7-double-bounce-behind-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
8) Single Bounce+ Double Crossover,Level 1,125,8-single-bounce-double-crossover-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
8) Single Bounce+ Double Crossover,Level 3,145,8-single-bounce-double-crossover-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
8) Single Bounce+ Double Crossover,Level 2,165,8-single-bounce-double-crossover-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
9) Single Bounce+ Double Between,Level 1,125,9-single-bounce-double-between-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
9) Single Bounce+ Double Between,Level 3,145,9-single-bounce-double-between-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
9) Single Bounce+ Double Between,Level 2,165,9-single-bounce-double-between-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
10) Single Bounce+ Double Behind,Level 1,125,10-single-bounce-double-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
10) Single Bounce+ Double Behind,Level 3,145,10-single-bounce-double-behind-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
10) Single Bounce+ Double Behind,Level 2,165,10-single-bounce-double-behind-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
11) Single Bounce+ Between+ Crossover,Level 1,125,11-single-bounce-between-crossover-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
11) Single Bounce+ Between+ Crossover,Level 2,145,11-single-bounce-between-crossover-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
11) Single Bounce+ Between+ Crossover,Level 3,165,11-single-bounce-between-crossover-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
12) Single Bounce+ Between+ Behind,Level 1,125,12-single-bounce-between-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
12) Single Bounce+ Between+ Behind,Level 2,145,12-single-bounce-between-behind-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
12) Single Bounce+ Between+ Behind,Level 3,165,12-single-bounce-between-behind-lv.3-165-trey-burke-need-countdwn.mp4,trey-burke.jpg,45
13) Single Bounce+ Crossover+ Behind,Level 1,125,13-single-bounce-crossover-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
13) Single Bounce+ Crossover+ Behind,Level 2,145,13-single-bounce-crossover-behind-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
13) Single Bounce+ Crossover+ Behind,Level 3,165,13-single-bounce-crossover-behind-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
14) Double Crossover+ Between,Level 1,125,14-double-crossover-between-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
14) Double Crossover+ Between,Level 2,145,14-double-crossover-between-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
14) Double Crossover+ Between,Level 3,165,14-double-crossover-between-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
15) Double Crossover+ Behind,Level 1,125,15-double-crossover-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
15) Double Crossover+ Behind,Level 2,145,15-double-crossover-behind-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
15) Double Crossover+ Behind,Level 3,165,15-double-crossover-behind-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
16) Double Alternate Between+ Behind,Level 3,125,16-double-alt.-between-behind-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
16) Double Alternate Between+ Behind,Level 1,145,16-double-alt.between-behind-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
16) Double Alternate Between+ Behind,Level 2,165,16-double-alt.between-behind-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
17) Double Alt. Between+ Crossover,Level 1,125,17-double-alt.between-crossover-lv.1-125-trey-burke-final-edition-.mp4,trey-burke.jpg,45
17) Double Alt. Between+ Crossover,Level 2,145,17-double-alt.between-crossover-lv.2-145-trey-burke-final-edition.mp4,trey-burke.jpg,45
17) Double Alt. Between+ Crossover,Level 3,165,17-double-alt.between-crossover-lv.3-165-trey-burke-final-edition.mp4,trey-burke.jpg,45
